id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
46,48,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,504,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
47,43,unknown,married,high.school,unknown,no,no,telephone,may,wed,463,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
48,43,entrepreneur,married,university.degree,no,no,yes,telephone,may,wed,363,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
49,31,services,single,high.school,no,yes,no,telephone,may,thu,543,12,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
50,29,admin.,single,university.degree,no,no,yes,cellular,aug,mon,119,6,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
51,45,management,married,university.degree,no,no,no,cellular,nov,tue,633,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8
52,33,admin.,married,university.degree,no,yes,no,telephone,jun,wed,305,10,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
53,52,entrepreneur,married,basic.9y,no,unknown,unknown,telephone,nov,mon,147,1,999,1,failure,-0.1,93.2,-42,4.191,5195.8
54,34,services,married,high.school,unknown,no,no,telephone,may,wed,48,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191
55,46,blue-collar,single,basic.4y,no,no,no,telephone,may,thu,218,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
56,45,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,107,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
57,42,technician,married,professional.course,unknown,no,no,telephone,may,tue,166,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
58,55,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,jun,fri,32,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
59,49,services,married,high.school,no,yes,no,cellular,aug,tue,197,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
60,32,technician,single,university.degree,no,yes,yes,cellular,aug,tue,231,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
61,42,technician,married,professional.course,no,yes,no,cellular,aug,wed,543,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
62,53,technician,divorced,university.degree,no,yes,no,telephone,may,wed,206,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
63,36,technician,married,professional.course,no,no,no,cellular,aug,tue,205,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
64,45,management,married,professional.course,no,yes,no,cellular,nov,thu,619,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
65,34,technician,married,professional.course,no,no,no,telephone,jun,thu,168,8,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
66,32,admin.,single,high.school,no,no,yes,cellular,may,fri,284,15,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
67,43,blue-collar,married,basic.4y,unknown,no,no,telephone,may,thu,263,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191
68,38,admin.,single,unknown,unknown,no,no,telephone,jun,tue,681,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
69,40,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,142,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
70,56,admin.,single,university.degree,no,yes,no,cellular,mar,wed,175,1,999,1,failure,-1.8,93.369,-34.8,0.634,5008.7
71,50,self-employed,married,university.degree,no,no,no,cellular,aug,thu,273,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
72,45,admin.,married,university.degree,no,no,yes,cellular,nov,wed,158,1,999,1,failure,-3.4,92.649,-30.1,0.715,5017.5
73,36,technician,single,professional.course,no,yes,no,cellular,jun,fri,126,2,3,1,success,-2.9,92.963,-40.8,1.268,5076.2
74,44,blue-collar,married,basic.6y,no,no,no,cellular,aug,wed,128,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
75,45,unemployed,married,basic.9y,no,yes,no,cellular,nov,thu,454,5,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
76,37,admin.,married,basic.9y,no,yes,no,cellular,may,tue,24,7,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1
77,48,blue-collar,divorced,high.school,unknown,no,yes,telephone,jul,mon,716,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
78,30,admin.,married,university.degree,unknown,yes,no,cellular,aug,mon,142,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
79,36,admin.,married,university.degree,no,yes,yes,cellular,jun,fri,427,1,4,4,success,-1.7,94.055,-39.8,0.748,4991.6
80,38,technician,single,university.degree,no,yes,no,cellular,apr,fri,351,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1
81,33,admin.,married,high.school,no,no,no,cellular,may,thu,350,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
82,27,services,single,university.degree,no,yes,no,cellular,mar,mon,111,3,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7
83,35,blue-collar,married,basic.6y,no,yes,no,cellular,may,thu,429,2,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1
84,40,admin.,married,high.school,no,yes,yes,cellular,oct,wed,73,1,999,0,nonexistent,-3.4,92.431,-26.9,0.724,5017.5
85,45,blue-collar,married,basic.4y,no,yes,no,cellular,aug,tue,198,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
86,43,technician,single,professional.course,unknown,unknown,unknown,cellular,nov,thu,157,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
87,38,admin.,single,university.degree,no,yes,no,cellular,apr,mon,285,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1
88,26,unemployed,married,high.school,no,yes,no,telephone,may,mon,107,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
89,30,blue-collar,married,basic.4y,unknown,no,no,telephone,may,fri,142,3,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1
90,48,entrepreneur,married,university.degree,no,yes,no,cellular,apr,thu,126,3,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1
91,48,services,married,basic.6y,unknown,no,no,cellular,aug,fri,164,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
92,42,technician,divorced,basic.9y,no,no,no,telephone,may,tue,474,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
93,50,self-employed,divorced,university.degree,unknown,yes,no,cellular,jul,mon,433,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
94,55,blue-collar,married,basic.4y,no,yes,no,telephone,jul,tue,92,1,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1
95,33,admin.,married,high.school,no,no,yes,cellular,may,thu,147,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1
96,52,blue-collar,married,basic.9y,no,unknown,unknown,cellular,aug,wed,70,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
97,32,blue-collar,married,unknown,no,no,no,cellular,may,fri,76,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
98,68,retired,divorced,high.school,no,yes,yes,cellular,jul,wed,340,1,3,1,success,-1.7,94.215,-40.3,0.896,4991.6
99,32,services,married,basic.9y,no,yes,no,telephone,jul,wed,71,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
100,37,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,113,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
101,28,blue-collar,single,basic.9y,no,unknown,unknown,telephone,may,tue,71,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
102,27,admin.,single,university.degree,no,yes,no,cellular,aug,fri,177,2,999,0,nonexistent,-1.7,94.027,-38.3,0.905,4991.6
103,33,entrepreneur,single,university.degree,no,no,no,cellular,may,thu,197,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
104,57,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,164,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
105,31,admin.,married,high.school,no,no,no,cellular,jul,thu,187,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
106,31,services,single,high.school,no,yes,no,telephone,jul,thu,42,5,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
107,34,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,273,5,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
108,28,services,married,unknown,no,yes,no,telephone,may,wed,260,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191
109,36,management,single,university.degree,no,no,no,cellular,jul,wed,101,7,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
110,60,unknown,married,university.degree,no,yes,no,telephone,jun,mon,112,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
111,60,retired,married,high.school,unknown,yes,no,telephone,jul,fri,297,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
112,32,admin.,single,high.school,no,yes,no,telephone,may,tue,54,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
113,32,unemployed,single,university.degree,no,no,no,cellular,may,thu,213,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1
114,41,technician,married,basic.9y,no,yes,no,telephone,may,thu,347,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
115,57,retired,married,professional.course,no,yes,no,telephone,aug,wed,96,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
116,52,entrepreneur,married,basic.9y,no,yes,yes,telephone,apr,mon,67,5,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
117,35,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,thu,224,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191
118,42,services,married,high.school,no,yes,yes,telephone,jun,fri,26,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1
119,28,blue-collar,single,basic.9y,unknown,yes,no,cellular,may,fri,219,6,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1
120,50,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,fri,249,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
121,59,admin.,married,university.degree,no,no,yes,telephone,may,fri,186,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191
122,44,technician,divorced,professional.course,no,no,no,cellular,may,thu,569,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1
123,41,management,single,basic.9y,no,no,no,cellular,may,tue,381,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1
124,36,admin.,married,university.degree,no,yes,no,cellular,jul,wed,570,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
125,32,blue-collar,married,basic.9y,no,no,no,cellular,apr,fri,334,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
126,32,management,married,university.degree,no,no,no,telephone,may,fri,159,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
127,34,management,married,university.degree,no,no,no,telephone,may,thu,187,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
128,42,blue-collar,married,basic.4y,unknown,yes,no,cellular,nov,tue,586,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8
129,56,services,married,basic.4y,unknown,yes,yes,cellular,nov,fri,119,1,999,1,failure,-0.1,93.2,-42,4.021,5195.8
130,42,services,married,high.school,no,no,yes,telephone,jun,mon,230,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
131,40,management,married,university.degree,unknown,no,no,cellular,may,thu,190,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
132,33,services,married,basic.4y,no,no,no,telephone,may,mon,229,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
133,54,management,married,university.degree,no,no,yes,cellular,aug,wed,990,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
134,32,student,single,university.degree,no,yes,no,cellular,apr,mon,712,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
135,26,admin.,single,university.degree,no,yes,no,cellular,may,mon,365,5,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1
136,31,admin.,single,university.degree,no,yes,no,cellular,aug,wed,375,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
137,36,admin.,married,high.school,no,unknown,unknown,cellular,jul,fri,191,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
138,33,admin.,married,university.degree,no,yes,yes,cellular,may,thu,444,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
139,46,admin.,married,basic.9y,no,unknown,unknown,cellular,sep,fri,490,3,999,4,failure,-1.1,94.199,-37.5,0.883,4963.6
140,56,services,divorced,high.school,unknown,yes,no,telephone,jun,mon,13,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1
141,53,management,married,basic.4y,unknown,no,no,telephone,may,wed,528,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
142,29,technician,single,high.school,no,yes,no,cellular,aug,wed,212,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
143,40,technician,single,university.degree,no,no,yes,cellular,aug,fri,140,7,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
144,41,technician,married,professional.course,no,yes,no,cellular,apr,fri,51,6,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
145,45,self-employed,married,basic.4y,no,yes,yes,cellular,aug,thu,266,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
146,32,blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,123,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
147,38,blue-collar,married,basic.9y,no,no,no,cellular,jul,fri,610,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
148,39,unemployed,single,basic.9y,no,yes,no,telephone,may,mon,846,2,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1
149,38,entrepreneur,divorced,basic.9y,no,yes,no,cellular,nov,wed,71,5,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
150,46,unknown,married,basic.4y,unknown,no,no,telephone,may,fri,232,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191
151,56,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,mon,52,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
152,41,technician,single,professional.course,no,yes,no,telephone,may,fri,103,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191
153,42,management,married,university.degree,no,no,no,telephone,may,wed,109,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
154,32,blue-collar,married,basic.6y,unknown,no,yes,telephone,jul,fri,191,2,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1
155,48,technician,married,high.school,no,no,no,telephone,may,thu,418,8,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
156,35,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,91,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
157,56,management,married,university.degree,unknown,no,no,telephone,may,tue,191,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
158,47,admin.,married,university.degree,no,yes,no,cellular,nov,fri,127,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
159,35,services,divorced,basic.9y,no,yes,no,telephone,jul,tue,124,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
160,36,technician,married,university.degree,no,yes,no,cellular,may,mon,219,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
161,39,blue-collar,single,basic.4y,unknown,yes,no,cellular,jul,thu,6,12,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
162,55,technician,married,professional.course,no,yes,no,cellular,oct,tue,182,1,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5
163,53,admin.,married,university.degree,unknown,yes,no,telephone,may,fri,231,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191
164,46,admin.,married,high.school,unknown,yes,no,telephone,may,fri,138,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
165,45,management,married,university.degree,no,no,no,telephone,may,fri,255,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191
166,48,admin.,single,university.degree,no,yes,no,cellular,nov,wed,210,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
167,39,management,divorced,university.degree,no,yes,no,cellular,nov,thu,10,6,999,1,failure,-0.1,93.2,-42,4.076,5195.8
168,29,technician,married,university.degree,no,no,no,telephone,may,fri,410,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191
169,33,admin.,married,university.degree,no,no,no,cellular,aug,thu,137,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
170,46,blue-collar,married,basic.4y,unknown,yes,yes,cellular,nov,thu,60,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
171,31,management,married,university.degree,no,yes,yes,cellular,aug,tue,199,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
172,32,admin.,married,high.school,no,no,no,cellular,mar,thu,115,2,999,0,nonexistent,-1.8,92.843,-50,1.757,5099.1
173,39,technician,single,university.degree,unknown,yes,no,cellular,jul,mon,333,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
174,33,self-employed,married,university.degree,no,no,no,cellular,jul,mon,299,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
175,57,management,divorced,university.degree,no,no,no,telephone,may,mon,222,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
176,29,admin.,single,high.school,no,unknown,unknown,cellular,may,fri,43,8,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1
177,53,technician,married,professional.course,no,yes,no,cellular,nov,thu,322,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
178,27,services,married,basic.6y,no,no,no,cellular,may,tue,142,2,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1
179,47,entrepreneur,married,high.school,no,no,yes,cellular,apr,wed,663,2,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1
180,53,blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,13,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
181,30,student,single,high.school,no,no,no,cellular,aug,tue,592,3,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6
182,43,management,married,unknown,no,yes,no,cellular,jul,wed,129,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
183,37,technician,married,professional.course,no,no,no,cellular,jun,mon,129,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2
184,39,services,married,high.school,no,no,no,telephone,may,thu,359,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
185,26,unemployed,single,basic.9y,no,no,yes,telephone,may,thu,546,8,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
186,37,admin.,married,high.school,unknown,no,no,cellular,may,mon,547,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
187,44,management,married,basic.9y,unknown,no,no,telephone,may,wed,282,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
188,34,unemployed,married,high.school,no,no,no,cellular,jul,thu,284,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
189,34,technician,married,university.degree,no,yes,no,telephone,may,wed,396,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
190,28,services,married,high.school,no,yes,no,cellular,jul,tue,59,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
191,33,services,married,professional.course,no,yes,yes,cellular,aug,thu,331,1,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
192,49,blue-collar,married,basic.9y,unknown,yes,no,telephone,jul,tue,158,2,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1
193,31,admin.,married,university.degree,no,yes,no,cellular,jul,wed,510,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
194,43,entrepreneur,married,high.school,no,no,yes,telephone,may,mon,127,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
195,42,management,married,university.degree,no,no,no,telephone,jun,wed,168,8,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
196,32,unemployed,single,university.degree,no,yes,no,cellular,may,wed,51,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
197,33,technician,married,professional.course,no,yes,no,cellular,nov,thu,51,7,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
198,45,unemployed,married,university.degree,no,no,no,telephone,may,tue,550,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
199,41,technician,divorced,university.degree,no,yes,no,cellular,aug,fri,252,1,999,1,failure,-1.7,94.027,-38.3,0.905,4991.6
200,41,admin.,married,university.degree,no,no,no,cellular,aug,tue,151,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
201,25,blue-collar,single,basic.4y,no,yes,no,telephone,may,fri,247,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191
202,24,admin.,married,high.school,no,no,no,cellular,jul,tue,42,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
203,45,admin.,married,university.degree,no,no,no,telephone,may,thu,319,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191
204,55,blue-collar,married,basic.4y,unknown,no,no,telephone,jul,thu,385,6,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1
